label,date,method,window_name,param_name,param_value,scenario,dod_bin_low,dod_bin_high,dod_mid,cycle_count
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,large,0.0,0.05,0.025,45.0
clear,2024-06-05,EMA,20min,alpha,0.4,large,0.0,0.05,0.025,36.0
clear,2024-06-05,EMA,20min,alpha,0.4,large,0.05,0.1,0.07500000000000001,1.0
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,large,0.0,0.05,0.025,24.0
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,large,0.1,0.15000000000000002,0.125,1.0
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,0.0,0.05,0.025,18.0
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,0.2,0.25,0.225,0.5
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,0.25,0.30000000000000004,0.275,0.5
clear,2024-06-05,SMA,10min,N,2.0,large,0.0,0.05,0.025,51.5
clear,2024-06-05,SMA,20min,N,4.0,large,0.0,0.05,0.025,34.0
clear,2024-06-05,SMA,20min,N,4.0,large,0.05,0.1,0.07500000000000001,1.0
clear,2024-06-05,SMA,30min,N,6.0,large,0.0,0.05,0.025,30.0
clear,2024-06-05,SMA,30min,N,6.0,large,0.1,0.15000000000000002,0.125,1.0
clear,2024-06-05,SMA,60min,N,12.0,large,0.0,0.05,0.025,14.0
clear,2024-06-05,SMA,60min,N,12.0,large,0.2,0.25,0.225,0.5
clear,2024-06-05,SMA,60min,N,12.0,large,0.25,0.30000000000000004,0.275,0.5
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,large,0.0,0.05,0.025,54.0
cloudy,2024-04-03,EMA,20min,alpha,0.4,large,0.0,0.05,0.025,51.5
cloudy,2024-04-03,EMA,20min,alpha,0.4,large,0.05,0.1,0.07500000000000001,1.0
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,large,0.0,0.05,0.025,44.0
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,large,0.1,0.15000000000000002,0.125,1.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,0.0,0.05,0.025,39.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,0.05,0.1,0.07500000000000001,2.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,0.1,0.15000000000000002,0.125,1.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,0.15000000000000002,0.2,0.17500000000000002,0.5
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,0.25,0.30000000000000004,0.275,0.5
cloudy,2024-04-03,SMA,10min,N,2.0,large,0.0,0.05,0.025,69.5
cloudy,2024-04-03,SMA,20min,N,4.0,large,0.0,0.05,0.025,51.5
cloudy,2024-04-03,SMA,20min,N,4.0,large,0.05,0.1,0.07500000000000001,1.0
cloudy,2024-04-03,SMA,30min,N,6.0,large,0.0,0.05,0.025,42.0
cloudy,2024-04-03,SMA,30min,N,6.0,large,0.05,0.1,0.07500000000000001,0.5
cloudy,2024-04-03,SMA,30min,N,6.0,large,0.1,0.15000000000000002,0.125,0.5
cloudy,2024-04-03,SMA,60min,N,12.0,large,0.0,0.05,0.025,34.0
cloudy,2024-04-03,SMA,60min,N,12.0,large,0.05,0.1,0.07500000000000001,3.0
cloudy,2024-04-03,SMA,60min,N,12.0,large,0.1,0.15000000000000002,0.125,1.0
cloudy,2024-04-03,SMA,60min,N,12.0,large,0.15000000000000002,0.2,0.17500000000000002,0.5
cloudy,2024-04-03,SMA,60min,N,12.0,large,0.25,0.30000000000000004,0.275,0.5
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,large,0.0,0.05,0.025,44.5
medium,2025-03-15,EMA,20min,alpha,0.4,large,0.0,0.05,0.025,40.5
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,large,0.0,0.05,0.025,39.5
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,0.0,0.05,0.025,21.0
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,0.05,0.1,0.07500000000000001,1.5
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,0.1,0.15000000000000002,0.125,0.5
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,0.15000000000000002,0.2,0.17500000000000002,0.5
medium,2025-03-15,SMA,10min,N,2.0,large,0.0,0.05,0.025,66.5
medium,2025-03-15,SMA,20min,N,4.0,large,0.0,0.05,0.025,39.5
medium,2025-03-15,SMA,30min,N,6.0,large,0.0,0.05,0.025,39.0
medium,2025-03-15,SMA,30min,N,6.0,large,0.05,0.1,0.07500000000000001,0.5
medium,2025-03-15,SMA,60min,N,12.0,large,0.0,0.05,0.025,20.5
medium,2025-03-15,SMA,60min,N,12.0,large,0.05,0.1,0.07500000000000001,2.0
medium,2025-03-15,SMA,60min,N,12.0,large,0.1,0.15000000000000002,0.125,0.5
medium,2025-03-15,SMA,60min,N,12.0,large,0.15000000000000002,0.2,0.17500000000000002,0.5
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,small,0.0,0.05,0.025,44.0
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,small,0.05,0.1,0.07500000000000001,1.0
clear,2024-06-05,EMA,20min,alpha,0.4,small,0.0,0.05,0.025,36.0
clear,2024-06-05,EMA,20min,alpha,0.4,small,0.2,0.25,0.225,1.0
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,small,0.0,0.05,0.025,24.5
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,small,0.25,0.30000000000000004,0.275,1.0
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,0.0,0.05,0.025,18.0
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,0.15000000000000002,0.2,0.17500000000000002,0.5
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,0.25,0.30000000000000004,0.275,1.0
clear,2024-06-05,SMA,10min,N,2.0,small,0.0,0.05,0.025,50.5
clear,2024-06-05,SMA,10min,N,2.0,small,0.05,0.1,0.07500000000000001,1.0
clear,2024-06-05,SMA,20min,N,4.0,small,0.0,0.05,0.025,34.0
clear,2024-06-05,SMA,20min,N,4.0,small,0.2,0.25,0.225,1.0
clear,2024-06-05,SMA,30min,N,6.0,small,0.0,0.05,0.025,30.0
clear,2024-06-05,SMA,30min,N,6.0,small,0.05,0.1,0.07500000000000001,0.5
clear,2024-06-05,SMA,30min,N,6.0,small,0.25,0.30000000000000004,0.275,1.0
clear,2024-06-05,SMA,60min,N,12.0,small,0.0,0.05,0.025,14.0
clear,2024-06-05,SMA,60min,N,12.0,small,0.15000000000000002,0.2,0.17500000000000002,0.5
clear,2024-06-05,SMA,60min,N,12.0,small,0.25,0.30000000000000004,0.275,1.0
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,small,0.0,0.05,0.025,53.5
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,small,0.05,0.1,0.07500000000000001,0.5
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,0.0,0.05,0.025,50.5
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,0.05,0.1,0.07500000000000001,1.0
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,0.1,0.15000000000000002,0.125,0.5
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,0.2,0.25,0.225,0.5
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,0.0,0.05,0.025,42.0
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,0.05,0.1,0.07500000000000001,2.0
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,0.15000000000000002,0.2,0.17500000000000002,0.5
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,0.25,0.30000000000000004,0.275,0.5
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,0.0,0.05,0.025,36.5
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,0.05,0.1,0.07500000000000001,4.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,0.1,0.15000000000000002,0.125,2.0
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,0.25,0.30000000000000004,0.275,1.0
cloudy,2024-04-03,SMA,10min,N,2.0,small,0.0,0.05,0.025,69.5
cloudy,2024-04-03,SMA,10min,N,2.0,small,0.05,0.1,0.07500000000000001,0.5
cloudy,2024-04-03,SMA,20min,N,4.0,small,0.0,0.05,0.025,47.0
cloudy,2024-04-03,SMA,20min,N,4.0,small,0.05,0.1,0.07500000000000001,3.0
cloudy,2024-04-03,SMA,20min,N,4.0,small,0.2,0.25,0.225,0.5
cloudy,2024-04-03,SMA,30min,N,6.0,small,0.0,0.05,0.025,37.5
cloudy,2024-04-03,SMA,30min,N,6.0,small,0.05,0.1,0.07500000000000001,2.0
cloudy,2024-04-03,SMA,30min,N,6.0,small,0.1,0.15000000000000002,0.125,2.0
cloudy,2024-04-03,SMA,30min,N,6.0,small,0.25,0.30000000000000004,0.275,0.5
cloudy,2024-04-03,SMA,60min,N,12.0,small,0.0,0.05,0.025,31.0
cloudy,2024-04-03,SMA,60min,N,12.0,small,0.05,0.1,0.07500000000000001,6.0
cloudy,2024-04-03,SMA,60min,N,12.0,small,0.1,0.15000000000000002,0.125,1.0
cloudy,2024-04-03,SMA,60min,N,12.0,small,0.25,0.30000000000000004,0.275,0.5
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,small,0.0,0.05,0.025,44.5
medium,2025-03-15,EMA,20min,alpha,0.4,small,0.0,0.05,0.025,40.5
medium,2025-03-15,EMA,20min,alpha,0.4,small,0.05,0.1,0.07500000000000001,2.0
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,0.0,0.05,0.025,37.0
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,0.05,0.1,0.07500000000000001,2.5
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,0.1,0.15000000000000002,0.125,1.0
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,0.0,0.05,0.025,20.0
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,0.05,0.1,0.07500000000000001,2.5
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,0.1,0.15000000000000002,0.125,1.0
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,0.2,0.25,0.225,0.5
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,0.25,0.30000000000000004,0.275,1.0
medium,2025-03-15,SMA,10min,N,2.0,small,0.0,0.05,0.025,67.5
medium,2025-03-15,SMA,20min,N,4.0,small,0.0,0.05,0.025,37.5
medium,2025-03-15,SMA,20min,N,4.0,small,0.05,0.1,0.07500000000000001,3.0
medium,2025-03-15,SMA,20min,N,4.0,small,0.1,0.15000000000000002,0.125,1.0
medium,2025-03-15,SMA,30min,N,6.0,small,0.0,0.05,0.025,34.0
medium,2025-03-15,SMA,30min,N,6.0,small,0.05,0.1,0.07500000000000001,5.5
medium,2025-03-15,SMA,30min,N,6.0,small,0.15000000000000002,0.2,0.17500000000000002,1.0
medium,2025-03-15,SMA,60min,N,12.0,small,0.0,0.05,0.025,19.0
medium,2025-03-15,SMA,60min,N,12.0,small,0.05,0.1,0.07500000000000001,3.5
medium,2025-03-15,SMA,60min,N,12.0,small,0.25,0.30000000000000004,0.275,1.5
