label,date,method,window_name,param_name,param_value,scenario,active_points,soc_min_actual,soc_max_actual,soc_span_actual,n_turning_points,n_cycles_total,dominant_dod_mid,dominant_cycle_count,damage_index
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,large,170,0.5016337448559671,0.5258522018961849,0.024218457040217745,47,45.0,0.025,45.0,0.000523224834379183
clear,2024-06-05,EMA,20min,alpha,0.4,large,170,0.5035600000000001,0.5775098492803994,0.07394984928039927,39,37.0,0.025,36.0,0.00043020708604510604
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,large,170,0.5046061826090981,0.6290663512410712,0.12446016863197318,27,25.0,0.025,24.0,0.00029234149476424194
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,170,0.5060086637178126,0.7826342572138416,0.276625593496029,21,19.0,0.025,18.0,0.00023520819180141605
clear,2024-06-05,SMA,10min,N,2.0,large,170,0.5016388888888892,0.5258819444444447,0.024243055555555504,53,51.5,0.025,51.5,0.0005988017549006206
clear,2024-06-05,SMA,20min,N,4.0,large,170,0.5045138888888889,0.5775694444444445,0.07305555555555554,37,35.0,0.025,34.0,0.0004069526489615868
clear,2024-06-05,SMA,30min,N,6.0,large,170,0.5056574074074074,0.6292337962962962,0.12357638888888878,33,31.0,0.025,30.0,0.0003621048060147997
clear,2024-06-05,SMA,60min,N,12.0,large,170,0.5068009259259258,0.7838391203703704,0.27703819444444455,17,15.0,0.025,14.0,0.00018869931763437756
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,large,143,0.5015951646090534,0.5262702914698281,0.024675126860774665,57,54.0,0.025,54.0,0.0006278698012550197
cloudy,2024-04-03,EMA,20min,alpha,0.4,large,143,0.5033854000000001,0.5775599143830471,0.07417451438304701,55,52.5,0.025,51.5,0.0006104289734423802
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,large,143,0.5043249051321209,0.6290605330903517,0.12473562795823079,47,45.0,0.025,44.0,0.0005248858655994344
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,143,0.5055552944185739,0.7837224866758421,0.27816719225726816,45,43.0,0.025,39.0,0.0005129850654449275
cloudy,2024-04-03,SMA,10min,N,2.0,large,143,0.5019583333333334,0.5278055555555556,0.025847222222222244,73,69.5,0.025,69.5,0.0008080916886522938
cloudy,2024-04-03,SMA,20min,N,4.0,large,143,0.4983368055555554,0.577642361111111,0.07930555555555563,55,52.5,0.025,51.5,0.0006104289734423802
cloudy,2024-04-03,SMA,30min,N,6.0,large,143,0.5052824074074075,0.6347569444444447,0.12947453703703726,46,43.0,0.025,42.0,0.0005008009129057895
cloudy,2024-04-03,SMA,60min,N,12.0,large,143,0.5062453703703703,0.8,0.2937546296296297,41,39.0,0.025,34.0,0.000466476191277889
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,large,135,0.501684670781893,0.5242423232595164,0.022557652477623313,49,44.5,0.025,44.5,0.0005174112251083033
medium,2025-03-15,EMA,20min,alpha,0.4,large,135,0.5034543333333334,0.5719689509741214,0.06851461764078792,45,40.5,0.025,40.5,0.00047090235094126475
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,large,135,0.5043349125364432,0.619064506802164,0.11472959426572071,43,39.5,0.025,39.5,0.0004592751323995051
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,135,0.5054459679866485,0.7584998336691385,0.25305386568249,27,23.5,0.025,21.0,0.0002775583169040047
medium,2025-03-15,SMA,10min,N,2.0,large,135,0.5015763888888889,0.5243888888888888,0.022812499999999902,69,66.5,0.025,66.5,0.0007732100330270149
medium,2025-03-15,SMA,20min,N,4.0,large,135,0.5044340277777778,0.5726840277777775,0.0682499999999997,43,39.5,0.025,39.5,0.0004592751323995051
medium,2025-03-15,SMA,30min,N,6.0,large,135,0.505247685185185,0.6198819444444444,0.11463425925925941,43,39.5,0.025,39.0,0.0004592751323995051
medium,2025-03-15,SMA,60min,N,12.0,large,135,0.5060613425925926,0.7601446759259262,0.25408333333333355,27,23.5,0.025,20.5,0.0002775583169040047
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,small,170,0.5049012345679013,0.5775566056885545,0.07265537112065323,47,45.0,0.025,44.0,0.000523224834379183
clear,2024-06-05,EMA,20min,alpha,0.4,small,170,0.51068,0.7325295478411978,0.22184954784119781,39,37.0,0.025,36.0,0.00044305822232810354
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,small,170,0.4711075501388722,0.8,0.32889244986112787,27,25.5,0.025,24.5,0.0003122250155478393
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,170,0.3401244220393875,0.8,0.45987557796061257,21,19.5,0.025,18.0,0.0002459498698598094
clear,2024-06-05,SMA,10min,N,2.0,small,170,0.5049166666666673,0.5776458333333332,0.07272916666666585,53,51.5,0.025,50.5,0.0005988017549006206
clear,2024-06-05,SMA,20min,N,4.0,small,170,0.5135416666666667,0.7327083333333336,0.21916666666666695,37,35.0,0.025,34.0,0.0004198037852445843
clear,2024-06-05,SMA,30min,N,6.0,small,170,0.4530902777777778,0.8,0.34690972222222227,33,31.5,0.025,30.0,0.00038198832679839703
clear,2024-06-05,SMA,60min,N,12.0,small,170,0.3208437499999998,0.8,0.47915625000000023,17,15.5,0.025,14.0,0.00019944099569277094
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,small,143,0.5047854938271604,0.5835277529160082,0.0787422590888478,57,54.0,0.025,53.5,0.0006278698012550197
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,143,0.5101562000000001,0.7539082772844177,0.2437520772844176,55,52.5,0.025,50.5,0.0006176850571940046
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,143,0.5129747153963626,0.8,0.2870252846036374,47,45.0,0.025,42.0,0.0005345784713081953
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,143,0.5163213472032442,0.8,0.28367865279675586,45,43.5,0.025,36.5,0.0005248370117400152
cloudy,2024-04-03,SMA,10min,N,2.0,small,143,0.505875,0.6065416666666665,0.10066666666666657,73,70.0,0.025,69.5,0.0008139052979231736
cloudy,2024-04-03,SMA,20min,N,4.0,small,143,0.5129583333333333,0.7329270833333333,0.21996875000000005,55,50.5,0.025,47.0,0.0005936001045003597
cloudy,2024-04-03,SMA,30min,N,6.0,small,143,0.5158472222222222,0.8,0.2841527777777778,46,42.0,0.025,37.5,0.0004995307125608914
cloudy,2024-04-03,SMA,60min,N,12.0,small,143,0.5187361111111111,0.8,0.281263888888889,41,38.5,0.025,31.0,0.0004571744164444813
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,small,135,0.505054012345679,0.5727269697785493,0.06767295743287027,49,44.5,0.025,44.5,0.0005174112251083033
medium,2025-03-15,EMA,20min,alpha,0.4,small,135,0.491411721262003,0.7043174842781212,0.21290576301611824,45,42.5,0.025,40.5,0.000494156788024784
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,135,0.4645647091463063,0.8,0.3354352908536937,43,40.5,0.025,37.0,0.0004725633821615161
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,135,0.2,0.8,0.6000000000000001,27,25.0,0.025,20.0,0.00031449800563870963
medium,2025-03-15,SMA,10min,N,2.0,small,135,0.4881875000000001,0.5645833333333333,0.07639583333333322,69,67.5,0.025,67.5,0.0007848372515687745
medium,2025-03-15,SMA,20min,N,4.0,small,135,0.4798958333333322,0.693916666666666,0.21402083333333377,43,41.5,0.025,37.5,0.0004841906007032757
medium,2025-03-15,SMA,30min,N,6.0,small,135,0.4568819444444446,0.8,0.34311805555555547,43,40.5,0.025,34.0,0.0004778786820663205
medium,2025-03-15,SMA,60min,N,12.0,small,135,0.2,0.8,0.6000000000000001,27,24.0,0.025,19.0,0.0003026496591016843
