Method,Window,Scenario,RampP95 target,RampP95 actual,Throughput_req,Throughput_act,Mismatch,f_p,f_soc
SMA,10min,small,175.5,175.5,332.708,332.708,0.0,0.0,0.0
EMA,10min,small,173.18,173.18,316.877,316.877,0.0,0.0,0.0
SMA,20min,small,168.95,168.95,938.667,938.667,0.0,0.0,0.0
EMA,20min,small,169.19,169.19,907.587,907.587,0.0,0.0,0.0
SMA,30min,small,165.8,166.0,1514.306,1338.903,175.403,0.0,0.176
EMA,30min,small,161.554,165.917,1466.205,1291.807,174.398,0.0,0.182
SMA,60min,small,161.067,174.6,3157.243,1615.979,1541.264,0.165,0.218
EMA,60min,small,147.428,175.0,2980.712,1560.005,1420.707,0.153,0.235
SMA,10min,large,175.5,175.5,332.708,332.708,0.0,0.0,0.0
EMA,10min,large,173.18,173.18,316.877,316.877,0.0,0.0,0.0
SMA,20min,large,168.95,168.95,938.667,938.667,0.0,0.0,0.0
EMA,20min,large,169.19,169.19,907.587,907.587,0.0,0.0,0.0
SMA,30min,large,165.8,165.8,1514.306,1514.306,0.0,0.0,0.0
EMA,30min,large,161.554,161.554,1466.205,1466.205,0.0,0.0,0.0
SMA,60min,large,161.067,161.067,3157.243,3157.243,0.0,0.0,0.0
EMA,60min,large,147.428,147.428,2980.712,2980.712,0.0,0.0,0.0
