Method,Window,Scenario,RampP95 target,RampP95 actual,Throughput_req,Throughput_act,Mismatch,f_p,f_soc
SMA,10min,small,500.0,500.0,1388.167,1351.167,37.0,0.022,0.0
EMA,10min,small,447.679,447.679,946.081,946.081,0.0,0.0,0.0
SMA,20min,small,310.038,351.812,2482.354,2295.417,186.938,0.067,0.0
EMA,20min,small,294.761,294.761,1974.425,1914.225,60.2,0.022,0.0
SMA,30min,small,212.067,378.567,3126.319,2762.847,363.472,0.178,0.059
EMA,30min,small,219.369,320.869,2602.304,2414.687,187.617,0.059,0.067
SMA,60min,small,139.421,545.054,4346.965,2979.097,1367.868,0.252,0.2
EMA,60min,small,157.786,557.35,3952.181,2715.498,1236.683,0.215,0.267
SMA,10min,large,500.0,500.0,1388.167,1388.167,0.0,0.0,0.0
EMA,10min,large,447.679,447.679,946.081,946.081,0.0,0.0,0.0
SMA,20min,large,310.038,310.038,2482.354,2482.354,0.0,0.0,0.0
EMA,20min,large,294.761,294.761,1974.425,1974.425,0.0,0.0,0.0
SMA,30min,large,212.067,212.067,3126.319,3126.319,0.0,0.0,0.0
EMA,30min,large,219.369,219.369,2602.304,2602.304,0.0,0.0,0.0
SMA,60min,large,139.421,139.421,4346.965,4344.472,2.493,0.007,0.0
EMA,60min,large,157.786,157.786,3952.181,3952.181,0.0,0.0,0.0
