Method,Window,Scenario,RampP95 target,RampP95 actual,Throughput_req,Throughput_act,Mismatch,f_p,f_soc
SMA,10min,small,1283.425,1971.5,3754.833,2145.458,1609.375,0.259,0.0
EMA,10min,small,1631.034,1953.729,2359.443,1972.273,387.17,0.147,0.0
SMA,20min,small,698.037,1886.0,5458.583,3078.438,2380.146,0.336,0.0
EMA,20min,small,855.149,1887.133,4366.951,2910.928,1456.023,0.301,0.0
SMA,30min,small,479.008,1886.0,6227.208,3270.458,2956.75,0.357,0.161
EMA,30min,small,578.284,1886.0,5430.675,3134.139,2296.536,0.336,0.224
SMA,60min,small,236.967,1891.504,8342.521,3559.549,4782.972,0.51,0.231
EMA,60min,small,290.295,1886.0,7491.932,3428.979,4062.952,0.455,0.266
SMA,10min,large,1283.425,1283.425,3754.833,3742.25,12.583,0.014,0.0
EMA,10min,large,1631.034,1631.034,2359.443,2359.443,0.0,0.0,0.0
SMA,20min,large,698.037,691.387,5458.583,5245.458,213.125,0.063,0.0
EMA,20min,large,855.149,855.149,4366.951,4359.756,7.195,0.014,0.0
SMA,30min,large,479.008,544.825,6227.208,5939.542,287.667,0.063,0.0
EMA,30min,large,578.284,578.284,5430.675,5360.267,70.408,0.028,0.0
SMA,60min,large,236.967,644.0,8342.521,7756.576,585.944,0.126,0.014
EMA,60min,large,290.295,467.414,7491.932,7264.408,227.523,0.077,0.0
