label,date,method,window_name,param_name,param_value,scenario,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,large,6000.0,1500.0,0.2,0.8,0.5,173.18046220971405,173.18046220971405,316.8770839452977,316.8770839452977,0.0,0.0,0.0,0.026406423662108144
clear,2024-06-05,EMA,20min,alpha,0.4,large,6000.0,1500.0,0.2,0.8,0.5,169.1896698834399,169.1896698834399,907.5867432494863,907.5867432494863,0.0,0.0,0.0,0.07563222860412386
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,large,6000.0,1500.0,0.2,0.8,0.5,161.5538707586902,161.5538707586902,1466.205391044694,1466.205391044694,0.0,0.0,0.0,0.12218378258705782
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,6000.0,1500.0,0.2,0.8,0.5,147.4278354304004,147.4278354304004,2980.7118505407057,2980.7118505407057,5.921189464667501e-15,0.0,0.0,0.24839265421172546
clear,2024-06-05,SMA,10min,N,2.0,large,6000.0,1500.0,0.2,0.8,0.5,175.5,175.5,332.7083333333333,332.7083333333333,0.0,0.0,0.0,0.02772569444444444
clear,2024-06-05,SMA,20min,N,4.0,large,6000.0,1500.0,0.2,0.8,0.5,168.95,168.95,938.6666666666666,938.6666666666666,0.0,0.0,0.0,0.07822222222222222
clear,2024-06-05,SMA,30min,N,6.0,large,6000.0,1500.0,0.2,0.8,0.5,165.8,165.8,1514.3055555555552,1514.3055555555552,0.0,0.0,0.0,0.1261921296296296
clear,2024-06-05,SMA,60min,N,12.0,large,6000.0,1500.0,0.2,0.8,0.5,161.0666666666666,161.0666666666666,3157.243055555555,3157.243055555555,1.5395092608135503e-14,0.0,0.0,0.26310358796296296
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,large,6000.0,1500.0,0.2,0.8,0.5,1631.034240697516,1631.034240697516,2359.443138650504,2359.443138650504,0.0,0.0,0.0,0.19662026155420867
cloudy,2024-04-03,EMA,20min,alpha,0.4,large,6000.0,1500.0,0.2,0.8,0.5,855.1485803702419,855.1485803702419,4366.951466731291,4359.755977102535,7.195489628755088,0.013986013986013986,0.0,0.36331299809187795
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,large,6000.0,1500.0,0.2,0.8,0.5,578.2840413984403,578.2840413984403,5430.675293068988,5360.267273888837,70.40801918015134,0.027972027972027972,0.0,0.4466889394907364
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,6000.0,1500.0,0.2,0.8,0.5,290.29540581746016,467.41446426212156,7491.931647807789,7264.408184491456,227.52346331633194,0.07692307692307693,0.0,0.6053673487076213
cloudy,2024-04-03,SMA,10min,N,2.0,large,6000.0,1500.0,0.2,0.8,0.5,1283.425,1283.425,3754.833333333333,3742.25,12.583333333333332,0.013986013986013986,0.0,0.31185416666666665
cloudy,2024-04-03,SMA,20min,N,4.0,large,6000.0,1500.0,0.2,0.8,0.5,698.0374999999999,691.3874999999999,5458.583333333333,5245.458333333333,213.125,0.06293706293706294,0.0,0.43712152777777774
cloudy,2024-04-03,SMA,30min,N,6.0,large,6000.0,1500.0,0.2,0.8,0.5,479.00833333333316,544.8249999999995,6227.208333333333,5939.541666666666,287.6666666666666,0.06293706293706294,0.0,0.4949618055555555
cloudy,2024-04-03,SMA,60min,N,12.0,large,6000.0,1500.0,0.2,0.8,0.5,236.96666666666664,643.9999999999989,8342.520833333332,7756.576388888888,585.9444444444439,0.1258741258741259,0.013986013986013986,0.6463813657407407
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,large,6000.0,1500.0,0.2,0.8,0.5,447.67917428273927,447.67917428273927,946.0813970231168,946.0813970231168,0.0,0.0,0.0,0.07884011641859306
medium,2025-03-15,EMA,20min,alpha,0.4,large,6000.0,1500.0,0.2,0.8,0.5,294.7606459285963,294.7606459285963,1974.4253147060574,1974.4253147060574,0.0,0.0,0.0,0.16453544289217145
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,large,6000.0,1500.0,0.2,0.8,0.5,219.368593599296,219.368593599296,2602.3036452260367,2602.3036452260367,0.0,0.0,0.0,0.2168586371021697
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,6000.0,1500.0,0.2,0.8,0.5,157.78570764592442,157.78570764592442,3952.181093068792,3952.181093068792,3.552713678800501e-15,0.0,0.0,0.3293484244223993
medium,2025-03-15,SMA,10min,N,2.0,large,6000.0,1500.0,0.2,0.8,0.5,499.99999999999943,499.99999999999943,1388.1666666666665,1388.1666666666665,0.0,0.0,0.0,0.11568055555555554
